"Click to View More","Agency","Program","Data Category","Data Element Name","Data Element Definition","Data Type","Years Available"
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Client","State","State in which Client lives
Any two-character USPS state abbreviation that matches the ZIP code.","Alpha",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Client","ZIP","Client's ZIP Code","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Client","Marital Status","Client's Marital Status
1- Never married
2- Married
3- Separated
4- Divorced/Annulled
8- Widowed
9- Civil Union
96- Other
97- Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Client","Veteran Status","Client's Veteran Status
Y= Yes, N= No, U= Unknown","Alpha",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Client","Military Start Date","Date on which client entered military service","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Client","Military End Date","Date on which client left military service","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Client","Insurance Type","Type of Insurance (Primary Insurance) used by client
2- No health insurance
4- Other private insurance
5- Medicare
6- Champus
8- Medicaid Husky C
9- HMO (including Managed Medicaid)
12- GA-SAGA
14- ATR-Access to Recovery
15- Self Pay
16 - Medicaid LIA Husky D
17 - Medicare Part A
18 - Medicare Part B
19 – Money Follows The Person (MFP)
20 – Nursing Home Waiver
21 – Medicaid BHH
22 – Medicaid- Husky A
23 – Medicaid BHH - Waiver
96- Other   
97- Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Client","Insurance Policy Number","Required only if insurance type is Medicaid. Insurance specific policy number","Alpha-numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Client","Insurance Policy Start Date","Date when insurance policy/coverage starts","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Client","Insurance Policy End Date","Date when insurance policy/coverage ends","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Admission","Program ID","ID number of Program from DMHAS Contract","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Admission","Admission Date","Date on which Client was admitted the program entered in 'Program ID' Data Element.","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Admission","Date of First Service Request","Date on which Client first requested Services.","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Admission","Primary Referral Source","Primary Source of Referral to Program.
1- Self
2- Family/Friend
3- Mental Health Provider
4- Substance Abuse Provider
5- Medical Health Practitioner
6- School
7- Employer/Supervisor
8- Employee Assistance Program
9-Clergy/Church/Synagogue
10- Dept. of Children and Families
11- Dept. of Social Services
12- Dept. of Developmental Disabilities
13- Other Community Referral
14- Court Order
15- Probation/Parole
16- Police
17- Shelter
18- Dept of Corrections
96- Other
97- Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Admission","Pregnancy Status","Client's Pregnancy Status.
Y= Yes, N= No, U= Unknown","Alpha",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Admission","Tobacco Use","Flag indicating whether or not Client has used Tobacco regularly in the last 30 days.
Y= Yes, N= No, U= Unknown","Alpha",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Discharge","Discharge Date","Date on which Client was discharged.","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Discharge","Discharge Reason","Reason for Client's Discharge.
30- AWOL for Inpatient only
32- Death
34- Evaluation Only
36- Incarcerated
38- Inpatient Discharge for Inpatient Medical Tx
40- Client Discontinued Tx
41- AMA
42- Left Against Advice
44- Moved out of area
46- Non-compliance with rules
48- Recovery Plan Completed
50- Released by Court
51 - Discharged to New Service (Facility Concurs)
96- Other
97- Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All  Treatment Programs","Co-Occurring Screening","Co-Occurring_ Assessment_Date","Date of the Co-Occurrence screening","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Co-Occurring Screening","MH Screening Used","Instrument used to screen Client for MH disorders.
1- Mental Health Screen Form III
2- Modified Mini
8- Declined
9- Medically or Clinically Inappropriate","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Co-Occurring Screening","SA Screening Used","Instrument used to screen Client for SA disorders.
1- SSI Alcohol and Drugs,
2- CAGE- Adapted to Include Drugs,
8- Declined,  
9- Medically or Clinically Inappropriate","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Co-Occurring Screening","MH Screening Score","Required if MH Screening Used field has a value of 1 or 2. Mental Health Screen Form III score: 0-16.  The Modified Mini score: 0-23.","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Co-Occurring Screening","SA Screening Score","Required if SA screening field has a value of 1 or 2.  The SSI Alcohol and Drug screening score: 0-14.  The CAGE- Adapted to Include Drugs screening score: 0-8.","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Co-Occurring Screening","MH Screen Mod Mini #4","Required if MH Screening used field has a value of 2 (Modified Mini). Yes response to Suicidality
Y= Yes, N= No","Alpha",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Co-Occurring Screening","MH Screen Mod Mini #14 and #15","Required if MH Screening used field has a value of 2 (Modified Mini). Yes response to 2 Trauma Questions on Modified Mini Survey.
Y= Yes, N= No","Alpha",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Co-Occurring Screening","MH Screen -Gambling Question Response","Required if MH Screening used field has a value of 1 or 2. Yes response to Form III #16 or Mod Mini #23 question related to gambling
Y= Yes, N= No","Alpha",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment","SA IP.Res. Admissions: Lifetime","Required for clients with a Substance Abuse diagnosis in any Axis 1 field. Client's lifetime number of prior Admissions to Inpatient/Residential Substance Abuse treatment.
0 = 0
1 = 1
2 = 2
3 = 3
4 = 4
5 = 5
6 = Greater than 5
97 = Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment","SA OP Admissions: Lifetime","Required for clients with a Substance Abuse diagnosis in any Axis 1 field. Client's lifetime number of prior Admissions to Outpatient Substance Abuse treatment.
0 = 0
1 = 1
2 = 2
3 = 3
4 = 4
5 = 5
6 = Greater than 5
97 = Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Assessment Date","Date on which Assessment was performed This is part of data set collected episodically for clients in a program.","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Employment Status","Client's Employment Status at the time of the Episodic Assessment.
30- Employed full time (in competitive employment)
32- Employed part time (in competitive employment)
34- Unemployed (looking for work in the past 30 days, or on a layoff)
36- Paid but non-competitive work (transitional employment programs)
38- Paid but non-competitive work (work inside the clubhouse or treatment agency, mobile work crews and consumer-run businesses)
42- Not in Labor Force: student enrolled in a school or job-training program
44- Not in Labor Force: homemaker
46- Not in Labor Force:  retired
48- Not in Labor Force: SSI SSDI 
50- Not in Labor Force:  Inmate of institution.
52- Not in Labor Force:  other reason
96- Other
97- Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Highest Grade Completed","Highest School Grade completed by Client at the time of the Assessment.
97=Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Persons Dependent On Income","Total number of individuals dependent on client's income.
","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Minors Dependent On Income","Total number of individuals age 17 and younger dependent on income.","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Principal Source Of Support","Client's Principal income source.
0- None,
1- Public Assistance,
2- Retirement,
3- Salary,
4- Disability,
96- Other,
97- Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Living Situation","Client's Living Situation at time of Episodic Assessment
30- Private residence, client owns or holds lease
32- Private residence, friend or relative owns the residence or holds lease
34- Single Room Occupancy (Hotel, YMCA, Rooming House)
36- Private residence, Community agency owns or holds lease
38- Residential Care Home/ Board and Care
40- Congregate residential care (24-hour supervision, group setting, services focus on MH, SA, &/or MR issues, Recovery House.)
42- Crisis / Respite Bed
44- Skilled Nursing Facility/Intermediate Care Facility /Nursing Home
46- Psychiatric/SA/Medical Inpatient.
48- Correctional Facility
52- Homeless Shelter,
54- Homeless (including on street),
96- Other,
97- Unknown
","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Was Client Homeless in Last Six Months","Field indicating whether client was homeless in 6 months prior to assessment.
Y= Yes, N= No, U= Unknown","Alpha",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Number of Days in the Last 30 that the client lived in a Controlled Environment?","What was the number of days in the last thirty that the client was in a controlled environment, such as jail/prison, hospital, group home, halfway house, etc?
97=Unknown
","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Number of Arrests in last 30 Days","Client's Number of Arrests in the thirty days preceding the Assessment.  This is being kept for NOMs reporting.
97=Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Social Support Voluntary","Number of Self-Help programs/meetings attended in the last 30 days
97=Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Periodic Assessment","Social Support Family/Friend","Flag indicating whether or not Client interacted with Family/Friends supportive of recovery in the thirty days preceding the Assessment.
Y= Yes, N= No, U= Unknown","Alpha",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Drug Type Field 1","At least 1 drug type is required for clients with a Substance Abuse diagnosis in any Axis 1 field. Drug Type used by Client.
0- None
1- Amphetamines                                                  
2- Alcohol                                   
3- Barbiturates     
4- Benzodiazepines
5- Cocaine                    
6- Crack                          
7- Hallucinogens: LSD, DMS, STP, etc               
8- Heroin                             
9- Inhalants          
10- Marijuana, Hashish, THC    
11- Methamphetamines 
12- Non-Prescriptive Methadone                  
13- Other Opiates and Synthetics                    
14- Other Sedatives or Hypnotics   
15- Other Stimulants
16- Over-the-Counter
17- PCP
18- Tranquilizers
19- Tobacco
96- Other
97- Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Drug Method Use Field 1","Required if corresponding drug type. Not required if corresponding drug type value equal to 0 or 97. Delivery method corresponding to the Drug specified in Drug Type field.
1- Oral,
2- Smoking,
3- Inhalation,
4- Injection,
96- Other
97- Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Days Used Field 1","Required if corresponding drug type has a value. Not required if corresponding drug type value equal to 0 or 97. Number of days in the last thirty in which the client used the Drug corresponding to the Drug specified in Drug Type field.","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Age First Use Field 1","Required if corresponding drug type has a value. Not required if corresponding drug type value equal to 0 or 97. Age at which the client first used the Drug corresponding to the Drug specified in Drug Type field.","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Drug Type Field 2","Drug Type used by Client.
See Drug Type Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Drug Method Use Field 2","Required if corresponding drug type has a value. Delivery method corresponding to the Drug specified in Drug Type field.
See Drug Method Use Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Days Used Field 2","Required if corresponding drug type has a value. Number of days in the last thirty in which the client used the Drug corresponding to the Drug specified in Drug Type field.
See Days Use Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Age First Use Field 2","Required if corresponding drug type has a value. Age at which the client first used the Drug corresponding to the Drug specified in Drug Type field.
See Age First Use Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Drug Type Field 3","Drug Type used by Client.
See Drug Type Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Drug Method Use Field 3","Required if corresponding drug type has a value. Delivery method corresponding to the Drug specified in Drug Type field.
See Drug Method Use Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Days Used Field 3","Required if corresponding drug type has a value. Number of days in the last thirty in which the client used the Drug corresponding to the Drug specified in Drug Type field.
See Days Used Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Age First Use Field 3","Required if corresponding drug type has a value. Age at which the client first used the Drug corresponding to the Drug specified in Drug Type field.
See Ages FIrst Used Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Drug Type Field 4","Drug Type used by Client.
See Drug Type Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Drug Method Use Field 4","Required if corresponding drug type has a value.. Delivery method corresponding to the Drug specified in Drug Type field.
See Drug Method Use Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Days Used Field 4","Required if corresponding drug type has a value. Number of days in the last thirty in which the client used the Drug corresponding to the Drug specified in Drug Type field.
See Days Used Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Age First Use Field 4","Required if corresponding drug type has a value. Age at which the client first used the Drug corresponding to the Drug specified in Drug Type field.
See Ages FIrst Used Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Drug Type Field 5","Drug Type used by Client.
See Drug Type Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Drug Method Use Field 5","Required if corresponding drug type has a value.. Delivery method corresponding to the Drug specified in Drug Type field.
See Drug Method Use Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Days Used Field 5","Required if corresponding drug type has a value. Number of days in the last thirty in which the client used the Drug corresponding to the Drug specified in Drug Type field.
See Days Used Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Periodic Assessment - Substance Use","Age First Use Field 5","Required if corresponding drug type has a value. Age at which the client first used the Drug corresponding to the Drug specified in Drug Type field.
See Ages FIrst Used Field 1 for values","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Type of Diagnosis","This field specifies the type of diagnosis for the client:  Admission, Update, or Discharge. 
A= Admission
U= Update
D= Discharge","Alpha-numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Effective Date of Diagnosis","This field specifies the date of the diagnosis.","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis I-Diagnosis Field 1","The listing of a client’s clinical disorders.
Axis 1 will be delineated by ICD-10 diagnosis codes and codes 799.9 and V71.09 if Diagnosis effective Date>= 07/01/2017
Axis 1 will be delineated by ICD-9 diagnosis codes 290.00 to 320.00 and 799.9 (excluding 301.00 to 301.99, 299.00 to 299.99, and 317.00 to 319.99) if Diagnosis effective Date< 07/01/2017
Note:  If the diagnosis in Axis 1 is Deferred Diagnosis (799.9), no other Axis 1 diagnoses should be entered.  Axis 2 and 3 can have an assigned diagnosis if Axis 1 has a diagnosis of Deferred Diagnosis (799.9).","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis I-Diagnosis Field 2","The listing of a client’s clinical disorders.
See Axis I-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis I-Diagnosis Field 3","The listing of a client’s clinical disorders.
See Axis I-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis I-Diagnosis Field 4","The listing of a client’s clinical disorders.
See Axis I-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis I-Diagnosis Field 5","The listing of a client’s clinical disorders.
See Axis I-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis I-Diagnosis Field 6","The listing of a client’s clinical disorders.
See Axis I-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis I-Diagnosis Field 7","The listing of a client’s clinical disorders.
See Axis I-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis II Diagnosis Field 1","The listing of a client’s personality and mental retardation disorders.
Axis II will be delineated by diagnoses 799.9 and V71.09 if Diagnosis effective Date>= 07/01/2017
Axis II will be delineated by diagnoses 301.00 to 301.99, 299.00 to 299.99, 317.00 to 319.99 if Diagnosis effective Date< 07/01/2017","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis II Diagnosis Field 2","The listing of a client’s personality and mental retardation disorders.
See Axis II-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis II Diagnosis Field 3","The listing of a client’s personality and mental retardation disorders.
See Axis II-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis II Diagnosis Field 4","The listing of a client’s personality and mental retardation disorders.
See Axis II-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis II Diagnosis Field 5","The listing of a client’s personality and mental retardation disorders.
See Axis II-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis III Diagnosis Field 1","The listing of a client’s general medical conditions.
Axis III will be delineated by all ICD-10 diagnosis codes that are not listed in Axes I and II if Diagnosis effective Date>= 07/01/2017
Axis III will be delineated by all ICD-9 diagnosis codes that are not listed in Axes I and II if Diagnosis effective Date< 07/01/2017","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis III Diagnosis Field 2","The listing of a client’s general medical conditions.
See Axis III-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis III Diagnosis Field 3","The listing of a client’s general medical conditions.
See Axis III-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis III Diagnosis Field 4","The listing of a client’s general medical conditions.
See Axis III-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis III Diagnosis Field 5","The listing of a client’s general medical conditions.
See Axis III-Diagnosis Field 1 for allowable values","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis IV Diagnosis (Stressors) Field 1","Problems with primary support group.
Y= Yes, N= No","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis IV Diagnosis Field 2","Problems related to the social environment.
Y= Yes, N= No","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis IV Diagnosis Field 3","Educational Problems.
Y= Yes, N= No","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis IV Diagnosis Field 4","Occupational Problems.
Y= Yes, N= No","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis IV Diagnosis Field 5","Housing Problems.
Y= Yes, N= No","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis IV Diagnosis Field 6","Economic Problems.
Y= Yes, N= No","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis IV Diagnosis Field 7","Problems with access to health care services.
Y= Yes, N= No","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis IV Diagnosis Field 8","Problems related to interaction with the legal system/crime.
Y= Yes, N= No","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis IV Diagnosis Field 9","Other psychosocial and environmental problems.
Y= Yes, N= No","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Diagnosis","Axis V Functional Score","Client's Functional Score at the time of an assessment.
Ranges of values:  0.00 - 100.00","Numeric (including decimal points)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","Based on current requirements","Services","Service Code","The code for a service given to a client.  
Any standard HCPCS, CPT or DMHAS-defined non-billable code","Alpha-numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Services","Service Start Date","Required if services are provided in record. The first date on which a service was given to a client.","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Services","Service End Date","Required if services are provided in record. The end date for the specific service.
Minute based services Service End Date must equal the Service Start Date for TX programs, greater than or equal to Service Start Date for non-TX programs.  Daily services Service End Date must be less than or equal to discharge date","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Services","Service Units","Required if services are provided in record. The number of units of the service.
An integer between 1 and 100","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Services","Duration of Service","Required if services are provided in record. The length of time of service, in minutes or days, for a client.
For ""minute-based"" services, numeric values must be greater than five and less than or equal to 1,440 for TX programs and greater than five and less than or equal to 15,000 for non-TX programs.  For ""day-based"" services, the numeric value must be less than or equal to the number of days based on the ‘from’ and ‘to’ dates. For TCM Services (TCM01, TCM02, and TCM03) minimum duration is 1 minute","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs – TCM Services Only","TCM Services","Clinician Last Name","The last name of the clinician administering the service to a client.","Alpha",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs – TCM Services Only","TCM Services","Clinician First Name","The first name of the clinician administering the service to a client.","Alpha",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs – TCM Services Only","TCM Services","Clinician Credentials","The credentials of the clinician administering a service (education degree, license).
1- Advanced Practice Registered Nurse (APRN)
2- Licensed Clinical Social Worker (LCSW)
3- Physician/Psychiatrist (MD)
4- Physician's Assistant (PA)
5- Clinical Psychologist (PSY)
96- Other","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs – TCM Services Only","TCM Services","Service Location ID","The code indicating the location, e.g. office, where a client received a service (used only for Targeted Case Management services).
2-Audio and Visual Client in Other Location
4-Homeless Shelter 
9-Prison-Correctional Facility
10-Audio and Visual Client at Home
11-Office
12-Home
14-Group Home
21-Inpatient Hospital
22-Outpatient Hospital
23-Emergency Room - Hospital
31-Skilled Nursing Facility
49-Independent Clinic
51-Inpatient Psychiatric Facility
53-Community Mental Health Center
55-Residential Substance Abuse Treatment Facility
56-Psychiatric Residential Treatment Center
57-Non-residential Substance Abuse Treatment Facility
99-Other Place of Service","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs – TCM Services Only","TCM Services","Diagnosis Code for Procedure","This is the diagnosis that pertains to the specific TCM service being provided.  It is a 5-digit field.  This field is only used for Targeted Case Management services.
A valid Axis I or II diagnostic code that is effective for the client at the time of service.","Alpha-Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Client","Insurance Type 2","Type of Secondary Insurance used by client
2- No health insurance
4- Other private insurance
5- Medicare
6- Champus
8- Medicaid Husky C
9- HMO (including Managed Medicaid)
12- GA-SAGA
14- ATR-Access to Recovery
15- Self Pay
16 - Medicaid LIA Husky D
17 - Medicare Part A
18 - Medicare Part B
19 – Money Follows The Person (MFP)
20 – Nursing Home Waiver
21 – Medicaid BHH
22 – Medicaid- Husky A
23 – Medicaid BHH - Waiver
96- Other   
97- Unknown","Numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Client","Insurance Policy Number 2","Required only if insurance type is Medicaid. Secondary Insurance specific policy number","Alpha-numeric",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Client","Insurance Policy Start Date 2","Date when secondary insurance policy/coverage starts","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Treatment Programs","Client","Insurance Policy End Date 2","Date when secondary insurance policy/coverage ends","Date (format MM/DD/YYYY)",NA
"&oplus;","Department of Mental Health and Addiction Services (DMHAS)","All Programs","Client","Insurance Type 3","Type of Tertiary Insurance used by client
2- No health insurance
4- Other private insurance
5- Medicare
6- Champus
8- Medicaid Husky C
9- HMO (including Managed Medicaid)
12- GA-SAGA
14- ATR-Access to Recovery
15- Self Pay
16 - Medicaid LIA Husky D
17 - Medicare Part A
18 - Medicare Part B
19 – Money Follows The Person (MFP)
20 – Nursing Home Waiver
21 – Medicaid BHH
22 – Medicaid- Husky A
23 – Medicaid BHH - Waiver
96- Other   
97- Unknown","Numeric",NA
